,path,SNR,SNR_mask_only,PSNR,PSNR_mask_only,SSIM,D_coherence
0,landscapes/fight,1.512026059153981,0.015549208815228883,30.38638629010011,28.16219410705216,0.015123390026916983,169.71306644290195
1,landscapes/lonely_dog,2.1358886468858977,0.01174835419738362,32.158126415003345,27.52006548035363,0.004413809733131155,46.80405328632206
2,landscapes/dog,2.490617383110141,0.05773625827341136,32.316847906733344,28.61655514696509,0.029738865711628055,63.37922323895784
3,landscapes/ball2,1.849019236854493,0.17510475920565194,30.51395452713912,27.805945280888707,0.008911083919066046,222.8809603477525
4,landscapes/ball,2.511034218111961,0.12457499838752775,32.06441185977967,27.84275151538807,0.01576657854165975,147.47152632155937
5,landscapes/ski,5.641225010450717,0.10248977661557293,35.299410435133765,27.769276764484903,0.029771097832463008,391.68787168067473
6,landscapes/beach,3.932246164235796,0.004396099600180254,34.06655744096322,27.072356556931616,0.017903626317956906,213.07150502281942
7,landscapes/friends,5.960711897212366,0.016172322186618463,35.61802152967947,26.29729224251918,0.01825383005666831,107.79546307881733
8,landscapes/baby,1.635649797712008,0.02218775391467464,31.503659965068422,27.942538636702764,0.007424017520442102,610.7023876205171
9,landscapes/mountain,3.697081403673278,0.09662607764800336,33.50442409361119,27.517835614209595,0.04493640049046835,131.4492999250815
10,landscapes/kid,1.3479763495879202,0.007732139979329523,30.79483460597721,27.658977569370936,0.0033914598466803386,990.3120596869016
